infinitief,imperfectum(enkelvoud),imperfectum(meervoud),participium,hulpwerkwoord,engels
aanbieden,bood aan,boden aan,aangeboden,hebben,to offer
aandoen,deed aan,deden aan,aangedaan,hebben,to affect
aangeven,gaf aan,gaven aan,aangegeven,hebben,to indicate
aanhebben,had aan,hadden aan,aangehad,hebben,to wear
aankomen,kwam aan,kwamen aan,aangekomen,zijn,to arrive
aannemen,nam aan,namen aan,aangenomen,hebben,to accept
aanspreken,sprak aan,spraken aan,aangesproken,hebben,to address
aanstaan,stond aan,stonden aan,aangestaan,hebben,to turn on
aantrekken,trok aan,trokken aan,aangetrokken,hebben,to put on
achterlaten,liet achter,lieten achter,achtergelaten,hebben,abandoned
achteruitgaan,ging achteruit,gingen achteruit,achteruitgegaan,zijn,to deteriorate
aflopen,liep af,liepen af,afgelopen,zijn,to end
afsluiten,sloot af,sloten af,afgesloten,hebben,to shut down
afspreken,sprak af,spraken af,afgesproken,hebben,to arrange a meeting
afstaan,stond af,stonden af,afgestaan,hebben,to give up / to cede
afvragen,vroeg zich af,vroegen zich af,afgevraagd,hebben,to wonder (afvragen zich)
afwassen,waste af,wasten af,afgewassen,hebben,to wash up
bakken,bakte,bakten,gebakken,hebben,to bake / to fry
beginnen,begon,begonnen,begonnen,zijn,to begin
begraven,begroef,begroven,begraven,hebben,to bury
begrijpen,begreep,begrepen,begrepen,hebben,to understand
bekijken,bekeek,bekeken,bekeken,hebben,to observe
beschrijven,beschreef,beschreven,beschreven,hebben,to describe
besluiten,besloot,besloten,besloten,hebben,to decide
bespreken,besprak,bespraken,besproken,hebben,to discuss
bestaan,bestond,bestonden,bestaan,hebben,to exist
bewegen,bewoog,bewogen,bewogen,hebben,to move
bezoeken,bezocht,bezochten,bezocht,hebben,to visit
bidden,bad,baden,gebeden,hebben,to pray
bieden,bood,boden,geboden,hebben,to bid
binnengaan,ging binnen,gingen binnen,binnengegaan,zijn,to enter
binnenkomen,kwam binnen,kwamen binnen,binnengekomen,zijn,to come in
binnenlaten,liet binnen,lieten binnen,binnengelaten,hebben,to let in/out
binnenlopen,liep binnen,liepen binnen,binnengelopen,zijn,to run in
binnenrijden,reed binnen,reden binnen,binnengereden,hebben/zijn,to drive in
binnenroepen,riep binnen,riepen binnen,binnengeroepen,hebben,to call in
blijken,bleek,bleken,gebleken,zijn,turn out
blijven,bleef,bleven,gebleven,zijn,to stay
breken,brak,braken,gebroken,hebben,to break
brengen,bracht,brachten,gebracht,hebben,to bring
buigen,boog,bogen,gebogen,hebben,to bend
buitengaan,ging buiten,gingen buiten,buitengegaan,zijn,to exit
buitenkomen,kwam buiten,kwamen buiten,buitengekomen,zijn,to come out
buitenrijden,reed buiten,reden buiten,buitengereden,hebben/zijn,to drive out
denken,dacht,dachten,gedacht,hebben,to think
dichtdoen,deed dicht,deden dicht,dichtgedaan,hebben,to shut (a door/window/lid/etc)
doen,deed,deden,gedaan,hebben,to do
doorkijken,keek door,keken door,doorgekeken,hebben,to look through
doorlopen,liep door,liepen door,doorgelopen,hebben/zijn,to keep moving
